S1,S2,S3,S4,S5,S6,S7,S8,OBSTACLE,ACTION
6.13,50,50,50,50,50,50,2.56,23.3,2
6.56,50,50,50,50,50,50,2.26,23.3,2
6.13,50,50,50,50,50,50,2.54,23.3,2
7.62,3.36,6.42,12.01,50,50,50,50,25.1,1
6.87,3.37,6.57,12,50,50,50,50,25.1,1
6.83,3.35,6.92,11.96,50,50,50,50,25.1,1
7.33,3.54,6.95,11.91,50,50,50,50,25.1,1
7.03,3.47,6.49,11.94,50,50,50,50,25.1,1
4.19,3.86,5.84,12.13,50,50,50,50,25.2,1
4.2,3.86,5.68,12.1,50,50,50,50,25.2,1
4.14,3.83,5.43,12.03,50,50,50,50,25.2,1
4.15,3.83,5.34,12.48,50,50,50,50,25.2,1
4.08,3.76,5.36,12.51,50,50,50,50,25.2,1
5.7,2.83,5.77,7.26,50,50,50,50,25.3,1
5.75,2.8,5.46,6.88,50,50,50,50,25.3,1
5.78,2.75,5.36,6.78,50,50,50,50,25.3,1
6.3,2.92,5.27,7.62,50,50,50,50,25.3,1
5.82,2.81,5.36,7.09,50,50,50,50,25.3,1
50,50,50,2.41,3.33,7.47,50,50,26.1,0
50,50,50,2.45,2.44,6.47,50,50,26.1,0
50,50,50,2.44,3.33,6.73,50,50,26.1,0
50,50,50,2.54,2.78,6.74,50,50,26.1,0
50,50,50,2.45,2.69,7.5,50,50,26.1,0
50,50,50,2.56,2.57,10.04,50,50,26.2,0
50,50,50,2.52,2.57,10.59,50,50,26.2,0
50,50,50,2.5,2.57,10.12,50,50,26.2,0
50,50,50,2.69,2.57,10.62,50,50,26.2,0
50,50,50,2.7,2.57,10.62,50,50,26.2,0
50,50,50,3.42,6.11,2.93,50,50,26.3,0
50,50,50,3.26,6.11,3.23,50,50,26.3,0
50,50,50,3.28,2.52,3.64,50,50,26.3,0
50,50,50,3.4,2.56,3.69,50,50,26.3,0
50,50,50,3.98,2.47,3.64,50,50,26.3,0
2.97,4.69,50,50,50,50,50,2.78,27.1,2
3.41,4.79,50,50,50,50,50,2.71,27.1,2
3.38,4.62,50,50,50,50,50,2.7,27.1,2
3.45,4.7,50,50,50,50,50,2.71,27.1,2
2.95,4.67,50,50,50,50,50,2.92,27.1,2
3.22,6.74,50,50,50,50,50,2.44,27.2,2
3.29,7.02,50,50,50,50,50,2.41,27.2,2
3.29,7.38,50,50,50,50,50,2.46,27.2,2
3.15,7.38,50,50,50,50,50,2.47,27.2,2
3.2,7.43,50,50,50,50,50,2.42,27.2,2
2.43,2.99,50,50,50,50,50,2.66,27.3,2
2.47,3.11,50,50,50,50,50,2.71,27.3,2
2.49,3,50,50,50,50,50,2.61,27.3,2
2.46,3.91,50,50,50,50,50,2.62,27.3,2
2.5,2.99,50,50,50,50,50,2.52,27.3,2
5.9,2.88,5.84,50,50,50,50,9.18,29.1,2
5.5,2.9,5.87,50,50,50,50,9.12,29.1,2
6.35,2.99,5.8,50,50,50,50,9.33,29.1,2
6.64,2.97,5.8,50,50,50,50,9.25,29.1,2
5.54,3.16,5.87,50,50,50,50,9.22,29.1,2
6.02,3.47,5.84,50,50,50,50,11.83,29.2,2
6.23,3.06,5.75,50,50,50,50,11.81,29.2,2
5.84,2.9,5.8,50,50,50,50,11.78,29.2,2
5.99,2.92,5.87,50,50,50,50,11.85,29.2,2
6.59,2.92,5.81,50,50,50,50,11.77,29.2,2
6.93,2.66,5.35,50,50,50,50,5.84,29.3,2
7.12,3.04,5.46,50,50,50,50,5.84,29.3,2
6.86,2.64,4.91,50,50,50,50,5.71,29.3,2
7.12,2.64,5.39,50,50,50,50,6.5,29.3,2
7.1,2.97,5.43,50,50,50,50,5.9,29.3,2
50,5.29,4.55,4.7,50,50,50,50,30.1,1
50,5.25,4.49,4.7,50,50,50,50,30.1,1
50,5.36,4.55,4.75,50,50,50,50,30.1,1
50,5.05,4.55,4.77,50,50,50,50,30.1,1
50,4.99,4.44,4.75,50,50,50,50,30.1,1
50,7.1,4.49,3.21,50,50,50,50,30.2,1
50,6.95,4.6,3.16,50,50,50,50,30.2,1
